# SPHEREx Light Curve Data
# Source: 1662622870104953472
# RA: 205.250219
# Dec: 60.436094
# Generated: 2026-05-12T13:24:04.950755
# Number of observations: 266
#
# Column descriptions:
# - obs_id: Observation identifier
# - mjd: Modified Julian Date
# - flux: Flux density in microJansky (μJy)
# - flux_error: Flux density uncertainty in microJansky (μJy)
# - mag_ab: AB magnitude
# - mag_ab_error: AB magnitude uncertainty
# - wavelength: Central wavelength in microns
# - bandwidth: Bandwidth in microns
# - band: SPHEREx detector band (D1-D6)
# - flag: Combined flag bitmap (integer)
# - flag_binary: Flag bitmap in binary format
# - pix_x, pix_y: Pixel coordinates
# - is_upper_limit: True if flux_error > flux
# - snr: Signal-to-noise ratio
#
obs_id,mjd,flux,flux_error,mag_ab,mag_ab_error,wavelength,bandwidth,band,flag,flag_binary,pix_x,pix_y,is_upper_limit,snr,correction_factor,flux_calib,flux_error_calib
2025W19_2B_0091_1,60804.081110032,545.671777772427,36.311673347494725,17.05767126853214,0.0722502061031421,0.8529701211487529,0.021482556454149,D1,2097152,1000000000000000000000,9.595285546040817,9.748485566877568,False,15.027447855417408,1.3588309242771703,741.4756861424737,49.34142465682695
2025W19_2B_0091_1,60804.081110043495,382.3881006442735,25.530326482672173,17.44373907697922,0.0724897028302639,2.819994375532916,0.0804231449686743,D4,2097152,1000000000000000000000,9.767044725732443,9.34700013887879,False,14.977799085483932,1.406011111458142,537.6419183952228,35.89592271379114
2025W19_2B_0091_2,60804.082602289,330.09475426852094,110.54016744268549,17.603403443114978,0.3635848807670518,2.8969580003187123,0.0835868707406906,D4,2097153,1000000000000000000001,9.26949528029274,9.50596231073105,False,2.98619734260556,1.401064995463529,462.48420539176004,154.87395919662387
2025W19_2B_0091_2,60804.082602289,506.54896116500447,35.10445883887057,17.138446427407196,0.0752428389590318,0.8732799177671575,0.0222122468238695,D1,2097152,1000000000000000000000,9.324449579894168,9.809432296440267,False,14.429761287307224,1.3608485385421927,689.3364135014623,47.77185150719158
2025W19_2B_0091_3,60804.084094534,306.7783572374575,24.300264913873512,17.682938206200497,0.0860024078614654,2.976037331416053,0.084992653720178,D4,2097152,1000000000000000000000,9.36509049287671,9.638165353387029,False,12.62448612493568,1.3938217745102979,427.5943542660671,33.87023836332551
2025W19_2B_0091_3,60804.084094534,552.9424620106917,36.65290136277441,17.043300145207205,0.0719702044120157,0.8939644999916316,0.0230406377938054,D1,2097152,1000000000000000000000,9.64851315354905,9.828326266010189,False,15.085912477648325,1.360690820077344,752.3837320889137,49.87326641352751
2025W19_2B_0091_4,60804.085586802496,605.1258261208864,39.185822216639096,16.94538577862398,0.070308461574934,0.9151635484513448,0.0236696391644617,D1,2097152,1000000000000000000000,9.663592071805198,9.78998336916633,False,15.442468522810213,1.360513201341381,823.2816749100749,53.31282843115387
2025W19_2B_0091_4,60804.085586802496,50597.28543419211,946.3827515646888,12.139681956545523,0.0203078486941521,3.0582065192171246,0.0887304569206467,D4,2228229,1000100000000000000101,9.18211493837606,9.71619192894662,False,53.463871092893214,1.3136980677339918,66469.55610748343,1243.26119206731
2025W19_2B_0163_1,60804.558986397504,272.7057678357807,171.04146737348808,17.81076419114921,0.6809753791279606,4.695540051258519,0.0363211237982364,D6,2097157,1000000000000000000101,9.9513348677443,9.375533589311104,False,1.5943839352143614,1.1890180750078108,324.2520871156269,203.37139628293605
2025W19_2B_0163_1,60804.558986397504,562.0451090159141,31.31091066065128,17.025572067792133,0.0604851617119113,1.9878534193973356,0.0483850250246475,D3,2097152,1000000000000000000000,9.205525489088146,9.250618257020742,False,17.950455517163913,1.3835418006186395,777.6129021567774,43.31995371444683
